Wild Whatcom,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Financial assistance awarded,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Fiscal year 2026 BUDGET ONLY,,"""Actual"" to date + Projections",,,,,,,,,,,,,,,,FY24 Anticipated,FY23,FY22 ,FY21,FY20,FY19,FY18
Date entered: ,,,,,,,,,,,,,,,,,,79335,69218.25,32764.75,39915.35,10896,16631.38,16994.25
"Budget approved by Board on June 30, 2025",Passed,,,Revisit in Oct 2025,,,,,,,,,,,,,,,,,,,,
Revenue,Total,,,FY25 Actuals,FY24 Actuals,,FY23 Actuals,,FY22 Actuals,,FY21 Actuals,,FY20 Actuals,,FY19 Actuals,,,,,,,,,
In-Kind Contributions,,,,,,,0,,,,-,,-,,,,,Reserves ,,,,,,
Contributions,93000,93045.34,,71376.23000000001,83044,,104182,,94895,,94716,,58467.55,,54075,,,One month's expenses,#REF!,,,,,
Grants,167900,158676.8,,322867.09,187904,,232347,,114945,,175314,,43488,,107193,,,Three month's expenses,#REF!,,,,,
Earned Revenue,660375,642868.94,,624820.83,622860,,552536,,475437,,473384.24,,291516,,347781,,,"Reserves Aug 31, 2023",491155,,,,,
Contracts,,0,,0,4250,,0,,6972,,,,-,,,,,# Months reserves this budget passed,#REF!,,,,,
Fundraising Events,8500,8556,,7521.200000000001,10700,,3906,,6614,,40,,1016,,17877,,,# Months reserves this budget anticipated,6.171919606,,,,,
Sponsorships,27000,27075,,27974.61,12483,,20602,,14784,,19500,,10000,,6186,,,,,,,,,
Other,6000,6569.35,,10362.019999999999,9957,,154195,,1190,,88007,,99805,,3100,,,Balance 10/31/23,Acct,,,,,
Total Revenue,962775,936791.43,,1064921.98,931197,,1067768,,714837,,850961.24,,504292.55,,536212,,,222804.86,WECU op,,,,,
,,,,,,,,,,,,,,,,,,194910.48,WECU Money Market,,,,,
Expenses,,,,,,,,,,,,,,,,,,,,,,,,
Salaries & Wages,710680,704543.02,,901919.7700000001,839138,,768651,,563876,,449457.9,,408870.31,,412800,,,141964.95,Wa Fd MM,,,,,
Payroll Taxes,71068,70275.13,,86631.72,82553,,75373,,53453,,39774.58,,35527.57,,35355,,,102337.48,WaFd CD,,,,,
Health Stipends,,3000,,,,,,,,,,,,,,,,,,,,,,
Staff Benefits,41700,35196.36,,28612.77,31887,,0,,-,,,,,,,,,,,,,,,
Other Personnel (WA Cares),,0,,0,0,,6985,,,,,,0,,0,,,,,,,,,
Accounting,8400,8400,,7350,7135,,11825,,5750,,5550,,5060,,5380,,,,,,,,,
Other Contractors,0,0,,800,54,,8349,,522,,41890.43,,0,,675,,,,,,,,,
"Insurance - Liability, D & O",14000,14306,,12159,9946,,3000,,7077,,8204,,7021,,7141,,,,,,,,,
Regpack Subscription,1700,1700,,1500,0,,75,,350,,3102,,1270,,1819,,,,,,,,,
Stripe,1600,1570.31,,1075.7199999999998,251,,4384,,41,,0,,252.74,,364,,,,,,,,,
Appreciation,3500,3350,,4598.95,2509,,8966,,8472,,5083.39,,2027.02,,2844,,,,,,,,,
Non traditional benefits,900,650,,8757.81,11073,,5673,,,,,,,,,,,,,,,,,
Professional Development,3000,2265,,4888.149999999999,8474,,519,,2070,,2610,,1497.6,,7072,,,,,,,,,
Board Development,400,400,,428.87,398,,554,,490,,0,,96.91,,90,,,,,,,,,
Licensing Fees,550,540,,105,2438,,18525,,233,,313.5,,311.53,,225,,,,,,,,,
Blue Snap Fees,24500,23783.8,,21455.660000000003,21310,,773,,16482,,18647.620000000003,,11674.83,,10268,,,,,,,,,
Paypal Processing Fee,200,185.85,,119.64999999999998,509,,2055,,899,,968.7100000000003,,328.38,,370,,,,,,,,,
QuickBooks Fee,2500,2500,,1640.8500000000004,4628,,27446,,1099,,1050.08,,1008.73,,1052,,,,,,,,,
Rent,34000,31950,,32085.66,34192,,1692,,23386,,13200,,14000,,12120,,,,,,,,,
Utilities,,2167.31,,,,,,,,,,,,,,,,,,,,,,
Office Supplies,1400,1400,,1352.19,1764,,1116,,3410,,854.8,,649.89,,1080,,,,,,,,,
IT Support & Telephone,1984,2004.95,,1845.9200000000003,1458,,3268,,1145,,1199.4000000000003,,1303.98,,748,,,,,,,,,
"Software, Hardware & Equipment",2784,2639.81,,3445.1600000000008,3505,,3279,,3433,,1468.73,,553.36,,1232,,,,,,,,,
Food,4800,4556.35,,5719.910000000001,5352,,3882,,3383,,213.72,,2146.59,,7136,,,,,,,,,
Fuel,3960,3919.19,,3680.3399999999997,4361,,6017,,2248,,254.20000000000002,,1253.79,,2654,,,,,,,,,
Gear,2800,2645.47,,2451.6,1634,,775,,5580,,11359.959999999997,,1968.26,,3717,,,,,,,,,
Lodging,1627,1380,,1479.01,1104,,3114,,-,,80,,1650,,815,,,,,,,,,
