PROGRAMS,Budgeted,Actual to date +projections,% of goal,Offset in Expenses/other reason?,Adjusted % of goal,Scholarships,Reason for difference,Suggestion for future
Program,,,,,,,,
Explorers Club,163460,149385.94,0.9138990579,,0.9138990579,32219.75,lower registration + ^ scholarship,
Community,10000,9970,0.997,,0.997,,have not reached goal in budget ever - BUT developing new programs has opened opportunities for new grants other programs do not qulaify fo,
School,249000,136775.5,0.5492991968,4500,0.5673714859,24791.5,"error in budgeting template - $4,500 was inlcuded in figure but should not have been. If that had not happend we would have met goal",capacity likely spot on - keep for next year?
Nature Preschool,104100,97737.5,0.9388808838,,0.9388808838,16125.0,added 5 more spots on friday +1 staff,increase days to 15 kids when possible and when more money is earned than spent on staffing
,,#REF!,#REF!,,,,,
Camps,#REF!,249000,#REF!,7500,#REF!,21000.0,"running smaller summer than planned due to staffing ALSO $22,000 in scholarships - only $15,000 budgeted but unclear we would have filled all those spots with paying","run similar next year, consider year round positions?"
,,,,,,,,
TOTAL,#REF!,#REF!,,12000,#REF!,,,
,,,,,,,,
Donations,Budgeted,Actuals+projections,,Reason for difference,Suggestions for future,,,
Individual contributions,45000,45045.34,1.001007556,"Looking back at individual giving last year, $16,000 of last years individual giving was from one large donor - who did not donate at that same level this fall",increase knowledge of/relationship of major donors to better understand what reality of individual donations are ,,,
Spring Appeal,12000,12000,1,Last year 25000 was raised last year 8250 was raised aside from one large donation ,more realistic goals,,,
Winter Appeal,36000,36000,1,,,,,
Sponsorships,27000,27075,1.002777778,,,,,
Interest income,6000,6294.35,1.049058333,,,,,
Other,1,275,275,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
GRANTS,,,,,,,,
