 ,Presented 5/27/25,FY 26 Proposed Budget,FY 25 Estimate as of 5/2025,% change from FY 25 estimate-FY26 budget,FY24 Actuals,FY23 actuals,FY22 Actuals,FY21 Actuals,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
FY26 DRAFT BUDGET,,,,,,,,,,,Scholarships,,,,,,,,
Revenue,,,,,,,,,,,FY 26 Budget,FY25 Anticipated,FY24 ,FY23 Ant,FY22 ,FY21,FY20,FY19,FY18
In-Kind Contributions,,,,,,0.0,,-,,,64500,80350,94000,65000,32764.75,39915.35,10896,16631.38,16994.25
Contributions,100000.0,93000.0,72568,0.281556609,83044.0,104182.0,94895,94716,,,,,,,,,,,
Grants,167000.0,167900.0,324648,-0.4828244745,187904.0,232347.0,114945,175314,,,,,,,,,,,
Earned Revenue,665113.0,660375.0,633402,0.04258433033,622860.0,552536.0,475437,473384,,,,,,,,,,,
Contracts,,,-,,4250.0,0.0,6972,,,,,,,,,,,,
Fundraising Events,8500.0,8500.0,7700,0.1038961039,10700.0,3906.0,6614,40,,,,,,,,,,,
Sponsorships,27000.0,27000.0,24725,0.09201213347,12483.0,20602.0,14784,19500,,,,,,,,,,,
Other ,6000.0,6000.0,9200,-0.347826087,9957.0,154195.0,1190,88007,,,,,,,,,,,
Total Revenue,973613.0,962775.0,1072671,-0.1024507981,931197.0,1067768.0,714837,850961,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Expenses,,,,,,,,,,,,,,,,,,,
Salaries & Wages,733845.0,710680.0,902200,-0.2122810907,839138.0,768651.0,563876,449458,,,,,,,,,,,
Payroll Taxes,73385.0,71068.0,92232,-0.2294648278,82553.0,75373.0,53453,39775,,,,,,,,,,,
Staff benefits,38000.0,41700.0,30478,0.3682000131,31887.0,0.0,1,,,,,,,,,,,,
Other Personnel,,,800,-1,0.0,6985.0,-,,,,,,,,,,,,
Accounting,8305.0,8400.0,7550,0.1125827815,7135.0,11825.0,5750,5550,,,,,,,,,,,
Other Contractors,,0.0,900,-1,54.0,8349.0,522,41890,,,,,,,,,,,
"Insurance - Liability, D & O",13640.0,14000.0,12429,0.1263979403,9946.0,3000.0,7077,8204,,,,,,,,,,,
Regpack Subscription,0.0,1700.0,1500,0.1333333333,0.0,75.0,350,3102,,,,,,,,,,,
Stripe,2204.0,1600.0,1327,0.2057272042,251.0,4384.0,41,0,,,,,,,,,,,
Appreciation,4505.0,3500.0,4528,-0.2270318021,2509.0,8966.0,8472,5083,,,,,,,,,,,
Non traditional benefits,,900.0,10560,-0.9147727273,11073.0,5673.0,,,,,,,,,,,,,
Professional Development,3000.0,3000.0,5947,-0.4955439718,8474.0,519.0,2070,2610,,,,,,,,,,,
Board Development,635.0,400.0,577,-0.3067590988,398.0,554.0,490,0,,,,,,,,,,,
Licensing Fees,72.0,550.0,65,7.461538462,2438.0,18525.0,233,314,,,,,,,,,,,
Blue Snap Fees,23279.0,24500.0,22683,0.08010404268,21310.0,773.0,16482,18648,,,,,,,,,,,
Paypal Processing Fee,233.0,200.0,193,0.03626943005,509.0,2055.0,899,969,,,,,,,,,,,
QuickBooks Fee,2345.0,2500.0,2400,0.04166666667,4628.0,27446.0,1099,1050,,,,,,,,,,,
Rent,35111.0,34000.0,31950,0.0641627543,34192.0,1692.0,23386,13200,,,,,,,,,,,
Office Supplies,2022.0,1400.0,1600,-0.125,1764.0,1116.0,3410,855,,,,,,,,,,,
IT Support & Telephone,1771.0,1984.0,1811,0.09552733297,1458.0,3268.0,1145,1199,,,,,,,,,,,
"Software, Hardware & Equipment",5075.0,2784.0,4000,-0.304,3505.0,3279.0,3433,1469,,,,,,,,,,,
Food,7009.0,4800.0,6400,-0.25,5352.0,3882.0,3383,214,,,,,,,,,,,
Fuel,3671.0,3960.0,3600,0.1,4361.0,6017.0,2248,254,,,,,,,,,,,
Gear,4365.0,2800.0,2627,0.06585458698,1634.0,775.0,5580,11360,,,,,,,,,,,
Lodging,1627.0,1626.9,1479,0.1,1104.0,3114.0,-,80,,,,,,,,,,,
Permits & Fees,3688.0,5000.0,2267,1.205558006,4252.0,4880.0,1371,-82,,,,,,,,,,,
Supplies,5914.0,4000.0,4060,-0.01477832512,4786.0,1108.0,4149,4745,,,,,,,,,,,
Transport,2420.0,1200.0,1100,0.09090909091,1840.0,1915.0,735,0,,,,,,,,,,,
First Aid,2598.0,2125.2,1932,0.1,2084.0,1078.0,1484,1822,,,,,,,,,,,
Postage,1063.0,2800.0,2800,0,2144.0,3606.0,1401,963,,,,,,,,,,,
Printing & Copying,2726.0,1850.0,1850,0,1861.0,2737.0,3366,1986,,,,,,,,,,,
Outreach & Marketing,5513.0,4500.0,4500,0,5334.0,2134.0,4029,6700,,,,,,,,,,,
Advertising,0.0,0.0,0,#DIV/0!,981.0,3548.0,,,,,,,,,,,,,
SWAG,0.0,0.0,0,#DIV/0!,1002.0,581.0,,,,,,,,,,,,,
City of Bellingham,0.0,0.0,0,,0.0,953.0,588,114,,,,,,,,,,,
WA Dept of Revenue,191.0,100.0,0,,0.0,7786.0,2054,1561,,,,,,,,,,,
Transportation/Standard Maintenance ,3172.0,4500.0,3044,0.4783180026,10089.0,43.0,2586,1902,,,,,,,,,,,
Mileage reimbursement,4017.0,3500.0,3500,0,2066.0,,46,-719,,,,,,,,,,,
Other,,,-168,-1,19057.0,,,505,,,,,,,,,,,
Depreciation,,,,,,,,,,,,,,,,,,,
Total Expenses,995400.0,967628.1,1183945,-0.1827085718,1131168.0,996665.0,725207,625694,,,,,,,,,,,
Net,-21787.0,-4853.1,-111274,,-199971.0,71103.0,-10369,225256,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
RESERVE FUNDING,,,,,,,,,,,,,,,,,,,
6 months operating expenses w/this budget,497700.0,483814.05,,,,,,,,,,,,,,,,,
Three months,248850.0,241907.025,,,,,,,,,,,,,,,,,
One month,82950.0,80635.675,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Anticipated reserves after FY25,170000.0,184393.96,,,,,,,,,,,,,,,,,
Months of operating with this budget ,2.05,2.226568575,,,,,,,,,,,,,,,,,
End of FY 26 reserve $ estimate,148213.0,179540.86,,,,,,,,,,,,,,,,,
